id	formula_molekul	kandungan_atom	energy
1	H4C1	CHHHH	-40.476062
2	H3N1	NHHH	-56.523026
3	H2C2	CCHH	-77.305527
4	H1C1N1	CNH	-93.40937
5	H4C1O1	COHHHH	-115.675816
6	H4C3	CCCHHHH	-116.60555
7	H3C2N1	CCNHHH	-132.714563
8	H4C2O1	CCOHHHH	-153.783728
9	H3C1N1O1	NCOHHH	-169.856903
10	H6C2O1	CCOHHHHHH	-154.968412
11	H6C2O1	COCHHHHHH	-154.956045
12	H4C2O1	CCOHHHH	-153.73941
13	H6C3O1	CCCOHHHHHH	-193.082969
14	H5C2N1O1	CCNOHHHHH	-209.15402
15	H2C4	CCCCHH	-153.455442
16	C2N2	NCCN	-185.644825
17	H2C3O1	OCCCHH	-190.620363
18	H1C2N1O1	OCCNH	-206.717875
19	H2C2O2	OCCOHH	-227.79457
20	H6C4	CCCCHHHHHH	-155.90318
21	H6C4	CCCCHHHHHH	-155.892291
22	H4C2N2	NCCNHHHH	-188.037478
23	H3C2N1O1	OCCNHHH	-207.912215
24	H6C3O1	CCCOHHHHHH	-193.070116
25	H4C2O2	COCOHHHH	-229.009003
26	H6C2O2	OCCOHHHHHH	-230.177723
27	H6C3O1	CCCOHHHHHH	-193.035186
28	H6C3O1	OCCCHHHHHH	-193.030356
29	H6C3O1	CCOCHHHHHH	-193.029968
30	H5C4N1	NCCCCHHHHH	-210.097816
31	H4C3N2	NCCNCHHHH	-226.157088
32	H4C4O1	OCCCCHHHH	-229.965414
33	H3C3N1O1	OCCNCHHH	-246.025614
34	H4C4O1	CCOCCHHHH	-229.921622
35	H3C3N1O1	CCOCNHHH	-246.022024
36	H3C3N1O1	NCOCCHHH	-245.992256
37	H3C2N1O2	NCOCOHHH	-283.163262
38	H5C3N1O1	CCOCNHHHHH	-247.209162
39	H5C2N1O2	COCNOHHHHH	-284.379361
40	H5C2N1O2	NCOCOHHHHH	-284.354148
41	H5C3N1O1	NCCCOHHHHH	-247.196699
42	H5C3N1O1	OCCCNHHHHH	-247.220897
43	H4C3O2	OCCOCHHHH	-267.063976
44	H4C5	CCCCCHHHH	-192.730524
45	H2C3N2	NCCCNHH	-224.939832
46	H4C4O1	OCCCCHHHH	-229.912379
47	H3C2N1O2	NCOCOHHH	-283.151564
48	H3C2N1O2	OCNCOHHH	-283.17476
49	H4C4O1	CCCCOHHHH	-229.922366
50	H5C3N1O1	COCCNHHHHH	-247.192237
51	H5C4N1	CCCCNHHHHH	-209.996559
52	H5C4N1	NCCCCHHHHH	-210.066701
53	H4C3N2	NCCCNHHHH	-226.102575
54	H5C3N1O1	OCCCNHHHHH	-247.179519
55	H4C3O2	OCCCOHHHH	-267.055484
56	H4C3N2	NCCCNHHHH	-226.140644
57	H3C2N3	NCCNNHHH	-242.176561
58	H3C3N1O1	OCCCNHHH	-245.9905
59	H1C1N3O1	OCNNNH	-278.072348
60	H2C2N2O1	ONCCNHH	-262.014288
61	H1C1N3O1	ONCNNH	-278.055942
62	N4O1	ONNNN	-294.078226
63	H4C3N2O1	OCNCCNHHHH	-301.400597
64	H3C3N1O2	OCNCCOHHH	-321.271636
65	H4C3N2O1	NCCNCOHHHH	-301.368495
66	H4C3N2O1	OCNCCNHHHH	-301.38437
67	H4C3N2O1	NCCOCNHHHH	-301.368911
68	H4C3N2O1	OCCNCNHHHH	-301.380615
69	H3C3N1O2	OCCOCNHHH	-321.24821
70	H4C4N2	CCNCCNHHHH	-264.251446
71	H3C3N3	CNCNCNHHH	-280.30997
72	H4C3N2O1	NCOCCNHHHH	-301.38819
73	H2C5O1	OCCCCCHH	-266.757444
74	H1C4N1O1	OCCCCNH	-282.855418
75	C3N2O1	OCCNCN	-298.94752
76	H2C4O2	OCCOCCHH	-303.928202
77	H1C3N1O2	OCCOCNH	-320.024005
78	H4C4N2	CCCNCNHHHH	-264.229597
79	H4C4N2	NCCCCNHHHH	-264.165508
80	H4C5O1	OCCCCCHHHH	-267.937674
81	H3C4N1O1	OCCCCNHHH	-284.042467
82	H3C3N1O2	OCCOCNHHH	-321.227582
83	H4C3O3	OCCOCOHHHH	-342.301481
84	H4C4O2	COCOCCHHHH	-305.149492
85	H3C3N1O2	COCOCNHHH	-321.248781
